Date,CSI500,Shanghai ,CSI300,HSI,STI,TWSE,MSCI World,S&P500,N225,LSE,ASX,Custom
2016-01-01,-2.555,-2.4458,-2.7929,-1.0106,0.1776,-0.3016,-0.63,-0.8273,1.41,0.27,3.6621,0
2016-01-08,-14.9912,-9.9676,-9.9019,-6.6654,-4.5616,-5.3261,-6.09,-5.9645,-7.0178,-9.21,-6.9242,-7.670977011
2016-01-15,-10.2704,-8.9581,-7.2238,-4.5612,-4.3788,-1.6717,-2.59,-2.1696,-3.1125,-6.7,-2.5051,-2.11673128
2016-01-22,1.5886,0.5375,-0.1689,-2.2553,-2.0401,-0.0751,1.04,1.413,-1.0998,2.48,2.9068,0.090651825
2016-01-29,-8.5043,-6.1361,-5.3758,3.1582,2.0186,4.1827,1.65,1.7484,3.3008,0.36,6.8096,1.392069211
2016-02-05,3.6757,0.9458,0.6008,-2.0065,-0.2244,-0.2178,-2.45,-3.1022,-3.9885,-4.59,-5.3129,-2.27473113
2016-02-12,0,0,0,-5.0217,-3.174,0,-2.46,-0.8122,-11.1,-1.35,0.5486,-24.18956712
2016-02-19,6.3644,3.493,2.9623,5.2726,4.6032,3.2499,3.48,2.8422,6.7852,0.48,3.5466,32.1465336
2016-02-26,-5.7749,-3.2451,-3.3935,0.4078,-0.2819,1.0345,1.06,1.5784,1.3856,17.21,0.3832,-0.396945741
2016-03-04,-0.2895,3.8644,4.9477,4.1962,7.0817,2.7629,3.45,2.6663,5.1047,3.88,1.6702,4.91595414
2016-03-11,-1.5551,-2.2212,-2.4437,0.1135,-0.2869,0.7241,1.13,1.11,-0.4461,1.69,-0.4459,1.07466486
2016-03-18,8.4372,5.154,5.0916,2.3368,2.7552,1.2011,1.19,1.3545,-1.2637,1.45,-2.6403,1.927598242
2016-03-25,1.3681,0.8218,0.8151,-1.5771,-2.0438,-1.2001,-1.33,-0.6655,1.6618,-4.35,-0.2421,-0.23834955
2016-04-01,1.6027,1.0101,0.7529,0.7535,-1.015,-0.5447,1.01,1.8095,-4.9321,0.37,-0.801,-0.690668866
2016-04-08,0.4965,-0.8165,-1.1226,-0.627,-0.3608,-1.3404,-0.48,-1.2148,-2.1198,-0.65,1.517,-1.104189451
2016-04-15,3.4669,3.1209,2.7146,4.6443,4.1171,1.8602,2.34,1.618,6.4881,-0.59,4.7722,3.711042956
2016-04-22,-5.9161,-3.862,-2.9737,0.7064,0.564,-1.8923,0.94,0.5215,4.3,-1.37,1.4493,0.586974994
2016-04-29,-0.2872,-0.7068,-0.5719,-1.8633,-3.4658,-1.8493,-0.91,-1.2565,-5.1583,1.23,-0.839,-3.235873368
2016-05-06,-0.7415,-0.8534,-0.836,-4.5435,-3.7949,-2.7629,-1.65,-0.3951,-3.3561,-5.51,2.6984,-1.126140956
2016-05-13,-4.3918,-2.9568,-1.7704,-1.9422,0.1505,-1.1384,-0.44,-0.5119,1.8967,-0.89,-1.7813,-0.920535794
2016-05-20,0.1066,-0.0575,0.1068,0.674,1.0571,0.9632,0.24,0.279,1.975,1.47,-0.136,1.751815393
2016-05-27,-0.1098,-0.157,-0.5107,3.6498,1.3999,4.0873,2.21,2.2774,0.5885,5.72,0.9081,3.314579962
2016-06-03,4.7247,4.1699,4.1413,1.8004,0.2398,1.4621,0.15,0.0033,-1.1441,-2.99,3.0821,-0.030602589
2016-06-10,0.1124,-0.3921,-0.7945,0.4554,0.4891,1.492,-0.8,-0.1458,-0.2456,-5.39,-2.1825,0.754223449
2016-06-17,-1.1777,-1.4367,-1.695,-4.1471,-2.1095,-1.6912,-1.77,-1.1856,-6.0338,-3.58,-1.1602,-2.205015782
2016-06-24,-1.3698,-1.0682,-1.0675,0.442,-1.0143,-1.0631,-1.65,-1.6324,-4.1516,-2.98,-0.3386,-1.124693137
2016-07-01,2.9784,2.7394,2.5038,2.642,4.0572,3.0819,3.2,3.2168,4.8854,-2.16,4.5753,3.40978748
2016-07-08,2.6477,1.8966,1.2073,-1.107,0.0235,-1.1138,0.12,1.2815,-3.6697,-0.46,2.2742,-1.262506414
2016-07-15,2.3331,2.2155,2.6313,5.3252,2.7506,3.5753,2.3,1.4949,9.2068,5.12,3.4096,5.221021719
2016-07-22,-0.5486,-1.3581,-1.5602,1.4083,0.6837,0.7072,0.38,0.6148,0.7843,2.54,0.1434,1.040667171
2016-07-29,-2.6641,-1.1111,-0.6583,-0.3319,-2.6027,-0.3188,0.87,-0.0657,-0.3487,2.24,1.636,0.071806043
2016-08-05,0.1002,-0.0887,0.0368,1.1636,-1.4125,1.1989,-0.3,0.4265,-1.9,-1.05,-1.5292,0.631688574
